2|CM00407_20060103|S|Successful add of a RateSchedule
19|AMXCA11A_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #19 of the data file and line #13 of the Rejects file Server Commit Status is: Not found
20|BOIT 03-A2 A2_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
20|BOIT 03-A2 A2_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #20 of the data file and line #14 of the Rejects file Server Commit Status is: Not found
21|CARAT31B_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
21|CARAT31B_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #21 of the data file and line #15 of the Rejects file Server Commit Status is: Not found
22|COMET 04-B2 B2_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
22|COMET 04-B2 B2_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #22 of the data file and line #16 of the Rejects file Server Commit Status is: Not found
23|COMET3C3_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
23|COMET3C3_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #23 of the data file and line #17 of the Rejects file Server Commit Status is: Not found
24|COMM4H1K_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
24|COMM4H1K_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #24 of the data file and line #18 of the Rejects file Server Commit Status is: Not found
25|COMT21AC_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
25|COMT21AC_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #25 of the data file and line #19 of the Rejects file Server Commit Status is: Not found
26|DCMT 01-3 A_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
26|DCMT 01-3 A_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #26 of the data file and line #20 of the Rejects file Server Commit Status is: Not found
27|DCMT013B_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
27|DCMT013B_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #27 of the data file and line #21 of the Rejects file Server Commit Status is: Not found
28|FH1267Q_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
28|FH1267Q_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #28 of the data file and line #22 of the Rejects file Server Commit Status is: Not found
29|FH1415FA_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
29|FH1415FA_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #29 of the data file and line #23 of the Rejects file Server Commit Status is: Not found
30|FH1686FA_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
30|FH1686FA_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #30 of the data file and line #24 of the Rejects file Server Commit Status is: Not found
31|FH1710G_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
31|FH1710G_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #31 of the data file and line #25 of the Rejects file Server Commit Status is: Not found
32|FH2033FD_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
32|FH2033FD_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #32 of the data file and line #26 of the Rejects file Server Commit Status is: Not found
33|FH2239PF_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
33|FH2239PF_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #33 of the data file and line #27 of the Rejects file Server Commit Status is: Not found
34|FH2326FC_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
34|FH2326FC_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #34 of the data file and line #28 of the Rejects file Server Commit Status is: Not found
35|FH2470EF_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
35|FH2470EF_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #35 of the data file and line #29 of the Rejects file Server Commit Status is: Not found
36|FH2603F_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
36|FH2603F_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #36 of the data file and line #30 of the Rejects file Server Commit Status is: Not found
37|FH2691LS_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
37|FH2691LS_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #37 of the data file and line #31 of the Rejects file Server Commit Status is: Not found
38|FH2755SC_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
38|FH2755SC_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #38 of the data file and line #32 of the Rejects file Server Commit Status is: Not found
39|FH2937SU_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
39|FH2937SU_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #39 of the data file and line #33 of the Rejects file Server Commit Status is: Not found
40|FH2947S_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
40|FH2947S_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #40 of the data file and line #34 of the Rejects file Server Commit Status is: Not found
41|FH2967DI_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
41|FH2967DI_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #41 of the data file and line #35 of the Rejects file Server Commit Status is: Not found
42|FH2990GF_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
42|FH2990GF_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #42 of the data file and line #36 of the Rejects file Server Commit Status is: Not found
43|FHR 2676 TF_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
43|FHR 2676 TF_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #43 of the data file and line #37 of the Rejects file Server Commit Status is: Not found
44|FHR 2958 KF_20060115|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
44|FHR 2958 KF_20060115|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #44 of the data file and line #38 of the Rejects file Server Commit Status is: Not found
45|LBFRC 05-LLFA H_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
45|LBFRC 05-LLFA H_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #45 of the data file and line #39 of the Rejects file Server Commit Status is: Not found
46|LIFT1A1_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
46|LIFT1A1_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #46 of the data file and line #40 of the Rejects file Server Commit Status is: Not found
47|MBNAM 01-A A_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
47|MBNAM 01-A A_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #47 of the data file and line #41 of the Rejects file Server Commit Status is: Not found
48|MBNAM 99-D A_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
48|MBNAM 99-D A_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #48 of the data file and line #42 of the Rejects file Server Commit Status is: Not found
49|MBNAS 2001-B1 B1_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
49|MBNAS 2001-B1 B1_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #49 of the data file and line #43 of the Rejects file Server Commit Status is: Not found
50|MBNAS2C3_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
50|MBNAS2C3_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #50 of the data file and line #44 of the Rejects file Server Commit Status is: Not found
51|MMCA025C_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
51|MMCA025C_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #51 of the data file and line #45 of the Rejects file Server Commit Status is: Not found
52|PGMT04AD_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
52|PGMT04AD_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #52 of the data file and line #46 of the Rejects file Server Commit Status is: Not found
53|PMNT 05-C1A C_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
53|PMNT 05-C1A C_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #53 of the data file and line #47 of the Rejects file Server Commit Status is: Not found
54|SRFC031D_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
54|SRFC031D_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #54 of the data file and line #48 of the Rejects file Server Commit Status is: Not found
55|COMM4H1J_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
55|COMM4H1J_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #55 of the data file and line #49 of the Rejects file Server Commit Status is: Not found
56|JPMCC 04-FL1A J_20060117|S|Successful add of a RateSchedule
57|GN0016FH_20060116|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
57|GN0016FH_20060116|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #57 of the data file and line #50 of the Rejects file Server Commit Status is: Not found
58|GN0035FA_20060116|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
58|GN0035FA_20060116|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #58 of the data file and line #51 of the Rejects file Server Commit Status is: Not found
59|GN008FA_20060116|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
59|GN008FA_20060116|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #59 of the data file and line #52 of the Rejects file Server Commit Status is: Not found
60|GN0119F_20060116|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
60|GN0119F_20060116|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #60 of the data file and line #53 of the Rejects file Server Commit Status is: Not found
61|GN0220FD_20060116|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
61|GN0220FD_20060116|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #61 of the data file and line #54 of the Rejects file Server Commit Status is: Not found
62|GN9912FC_20060116|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
62|GN9912FC_20060116|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #62 of the data file and line #55 of the Rejects file Server Commit Status is: Not found
63|GE051706_20060117|S|Successful add of a RateSchedule
64|FH2289FD_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
64|FH2289FD_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #64 of the data file and line #56 of the Rejects file Server Commit Status is: Not found
65|FNG974FA_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
65|FNG974FA_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #65 of the data file and line #57 of the Rejects file Server Commit Status is: Not found
66|FNR 2001-20 FE_20060117|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
66|FNR 2001-20 FE_20060117|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #66 of the data file and line #58 of the Rejects file Server Commit Status is: Not found
67|FN9742FD_20060118|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
67|FN9742FD_20060118|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #67 of the data file and line #59 of the Rejects file Server Commit Status is: Not found
68|ABCMT 2003-B A_20060120|S|Successful add of a RateSchedule
69|MMT 05-2 B_20060120|S|Successful add of a RateSchedule
70|ABCMT3BC_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
70|ABCMT3BC_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #70 of the data file and line #60 of the Rejects file Server Commit Status is: Not found
71|ACAS032C_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
71|ACAS032C_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #71 of the data file and line #61 of the Rejects file Server Commit Status is: Not found
72|ACEHE1A_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
72|ACEHE1A_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #72 of the data file and line #62 of the Rejects file Server Commit Status is: Not found
73|ARGF31C1_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
73|ARGF31C1_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #73 of the data file and line #63 of the Rejects file Server Commit Status is: Not found
74|BAFC 05-F 1A1_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
74|BAFC 05-F 1A1_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #74 of the data file and line #64 of the Rejects file Server Commit Status is: Not found
75|CDTIM 05-1A A2_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
75|CDTIM 05-1A A2_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #75 of the data file and line #65 of the Rejects file Server Commit Status is: Not found
76|GN0287FV_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
76|GN0287FV_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #76 of the data file and line #66 of the Rejects file Server Commit Status is: Not found
77|HFCHC 03-2 M_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
77|HFCHC 03-2 M_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #77 of the data file and line #67 of the Rejects file Server Commit Status is: Not found
78|HMLHC 2002-HC1 M_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
78|HMLHC 2002-HC1 M_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #78 of the data file and line #68 of the Rejects file Server Commit Status is: Not found
79|MMT 05-1A C_20060120|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
79|MMT 05-1A C_20060120|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #79 of the data file and line #69 of the Rejects file Server Commit Status is: Not found
80|ARMSS 05-1A G_20060121|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
80|ARMSS 05-1A G_20060121|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #80 of the data file and line #70 of the Rejects file Server Commit Status is: Not found
81|WB072007_20060123|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
81|WB072007_20060123|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #81 of the data file and line #71 of the Rejects file Server Commit Status is: Not found
82|OOMLT212_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
82|OOMLT212_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #82 of the data file and line #72 of the Rejects file Server Commit Status is: Not changed
83|SLMA 06-1 A1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
83|SLMA 06-1 A1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #83 of the data file and line #73 of the Rejects file Server Commit Status is: Not found
84|RASC 06-KS1 M1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
84|RASC 06-KS1 M1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #84 of the data file and line #74 of the Rejects file Server Commit Status is: Not found
85|ABSHE 06-HE1 M7_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
85|ABSHE 06-HE1 M7_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #85 of the data file and line #75 of the Rejects file Server Commit Status is: Not found
86|BSABS 05-HE9 1A1_20060125|S|Successful add of a RateSchedule
87|FHLT 2005-A M1_20060125|S|Successful add of a RateSchedule
88|GKKRE 05-1A D_20060125|S|Successful add of a RateSchedule
89|GKKRE 05-1A E_20060125|S|Successful add of a RateSchedule
90|GKKRE 05-1A G_20060125|S|Successful add of a RateSchedule
91|INABS 05-D M9_20060125|S|Successful add of a RateSchedule
92|JPMAC 05-OPT2 M9_20060125|S|Successful add of a RateSchedule
93|RFMS2 05-HSA1 AI1_20060125|S|Successful add of a RateSchedule
94|RAMP 06-RS1 M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
94|RAMP 06-RS1 M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #94 of the data file and line #76 of the Rejects file Server Commit Status is: Not found
95|CBASS 06-CB1 B2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
95|CBASS 06-CB1 B2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #95 of the data file and line #77 of the Rejects file Server Commit Status is: Not found
96|LBMLT 06-WL1 M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
96|LBMLT 06-WL1 M9_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #96 of the data file and line #78 of the Rejects file Server Commit Status is: Not found
97|MSHEL 06-1 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
97|MSHEL 06-1 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #97 of the data file and line #79 of the Rejects file Server Commit Status is: Not found
98|AABST 04-4 B3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
98|AABST 04-4 B3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #98 of the data file and line #80 of the Rejects file Server Commit Status is: Not found
99|AABST413_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
99|AABST413_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #99 of the data file and line #81 of the Rejects file Server Commit Status is: Not found
100|ABFC 05-HE1 M2_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
100|ABFC 05-HE1 M2_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #100 of the data file and line #82 of the Rejects file Server Commit Status is: Not found
101|ABSHE 05-HE6 M9_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
