"","HAM1","HAM2","HAM3","HAM4","HAM5","HAM6","EDHEC.LS.EQ","SP500.TR","US.10Y.TR","US.3m.TR"
"Sep 2001",-0.0234,0.0284,-0.0083,-0.1173,-0.011,0.0078,-0.0348,-0.0808,0.02277,0.00425
"Oct 2001",-0.006,-0.0284,-0.0269,0.0519,-0.1386,0.03,0.0099,0.0191,0.02796,0.00261
"Nov 2001",0.0304,0.006,0.0156,0.0808,0.017,0.0522,0.02,0.0767,-0.03231,0.00219
"Dec 2001",0.0639,-0.0053,-0.004,0.1123,0.041,0.0539,0.018,0.0088,-0.01755,0.00156
"Jan 2002",0.0187,-0.0165,-0.01,-0.0421,0.083,0.0176,-0.0037,-0.0146,0.00493,0.00146
"Feb 2002",-0.0148,-0.0429,-0.0444,-0.0347,-0.0159,0.0066,-0.0123,-0.0193,0.01281,0.00134
"Mar 2002",0.0106,0.0162,0.0171,0.1329,-0.0751,0.0438,0.0155,0.0376,-0.03714,0.0015
"Apr 2002",0.0036,-0.0114,-0.0254,0.0658,0.0411,0.0056,-0.0042,-0.0606,0.02863,0.00157
"May 2002",-0.006,-0.0226,-0.0051,0.0104,-0.0542,-0.0085,-0.0034,-0.0074,0.00844,0.00157
"Jun 2002",-0.019,-0.0249,-0.0366,-0.0566,-0.0512,-0.0268,-0.0249,-0.0712,0.02058,0.00145
"Jul 2002",-0.076,-0.0181,-0.0411,-0.1404,-0.0693,-0.0369,-0.0389,-0.078,0.03138,0.00153
"Aug 2002",0,6e-04,0.0117,-0.0125,0.0789,0.0149,0.0041,0.0066,0.02985,0.0014
"Sep 2002",-0.064,0.005,-0.0398,-0.1072,-0.0474,0.0034,-0.016,-0.1087,0.04685,0.0016
"Oct 2002",0.027,0.0024,0.0146,0.0136,-0.0338,-0.0064,0.0123,0.088,-0.02009,0.00149
"Nov 2002",0.075,-0.0065,0.0366,0.0859,0.0109,0.0127,0.0224,0.0589,-0.02073,0.0016
"Dec 2002",-0.03,0.0038,-0.0738,0.0441,0.0124,-0.0011,-0.0149,-0.0587,0.0354,0.00117
"Jan 2003",-0.0396,-0.0048,0.0034,-0.032,0.004,0.0028,5e-04,-0.0262,-0.00868,0.00099
"Feb 2003",-0.0177,-0.0096,0.0044,-0.0096,-0.0057,-0.0034,-0.0037,-0.015,0.02766,0.00087
"Mar 2003",0.0286,-0.0096,0.0032,0.0281,0.0393,0.0179,0.002,0.0097,-0.00711,0.00118
"Apr 2003",0.0633,-0.0034,0.0504,0.1082,0.0056,0.0032,0.0298,0.0824,0.00035,0.00094
"May 2003",0.029,0.0542,0.0357,0.0869,0.0544,0.027,0.0362,0.0527,0.04658,0.001
"Jun 2003",0.0393,0.0256,0.0013,0.0571,0.0571,0.0074,0.0128,0.0128,-0.01184,0.0014
"Jul 2003",0.023,0.027,0.0172,0.0412,-0.0347,0.0205,0.0118,0.0176,-0.07092,0.00067
"Aug 2003",0.0102,-0.0074,0.0365,-0.0163,-0.0097,0.0217,0.0179,0.0195,0.01076,0.00079
"Sep 2003",0.0081,-0.0094,-0.0036,0.0063,0.0291,-0.009,0.0094,-0.0106,0.04548,0.001
"Oct 2003",0.0529,0.0224,0.0573,0.061,0.049,0.0521,0.0299,0.0566,-0.02484,0.00076
"Nov 2003",0.0178,0.0172,0.0211,0.0905,0.0267,0.02,0.013,0.0088,0.00293,0.00084
"Dec 2003",0.0191,0.0225,0.0026,0.0415,-0.0365,0.0516,0.0191,0.0524,0.00834,0.00096
"Jan 2004",0.0149,0.016,0.0079,0.0229,0.004,0.0201,0.0192,0.0184,0.01372,0.00082
"Feb 2004",-7e-04,2e-04,0.0147,0.0393,0.0377,0.0142,0.0123,0.0139,0.01671,0.00073
"Mar 2004",0.0172,0.0108,-0.0133,0.0249,-0.0021,0.0073,0.0041,-0.0151,0.01523,0.00084
"Apr 2004",-0.014,0.0113,-0.0279,-0.0794,-0.0358,-0.0181,-0.0165,-0.0157,-0.04833,0.00084
"May 2004",0.0036,0,-0.0033,-0.0112,0.0231,-0.0229,-0.0035,0.0137,-0.00681,0.00086
"Jun 2004",0.0219,0.0085,0.0094,0,0.0093,0.016,0.0091,0.0195,0.00674,0.00066
"Jul 2004",-0.0098,0.0039,-0.032,-0.0364,-0.0199,-0.036,-0.0154,-0.0331,0.01477,0.00115
"Aug 2004",0.004,-0.0029,-0.0045,0.0207,-0.0282,-0.0075,-0.0022,0.0041,0.03108,0.00124
"Sep 2004",0.0135,0.0144,0.0039,0.0439,0.0456,0.0273,0.021,0.0108,0.00388,0.00127
"Oct 2004",0.0074,0.0119,0.0025,-0.0152,-0.0093,0.0044,0.0074,0.0153,0.0106,0.0013
"Nov 2004",0.0422,0.0306,0.0636,0.0928,0.0377,0.0392,0.0308,0.0405,-0.02276,0.00136
"Dec 2004",0.0369,0.0094,0.0188,0.0538,0.0452,0.0201,0.0178,0.034,0.01495,0.00213
"Jan 2005",0.0038,-0.0107,0.0089,-0.001,-0.0042,-0.0057,-0.0017,-0.024375,0.01016,0.00167
"Feb 2005",0.0176,0.0255,0.0335,-0.0273,0.0123,0.0361,0.021,0.02104,-0.01518,0.00162
"Mar 2005",-0.0144,-0.0132,0.0029,-0.0193,-0.0029,-0.0258,-0.0096,-0.01771,-0.00724,0.00243
"Apr 2005",-0.0258,-0.0076,-0.0077,-0.0104,-0.0376,-0.034,-0.0184,-0.019,0.02725,0.00225
"May 2005",0.0088,-0.0096,0.0247,0.0142,0.0347,0.031,0.0115,0.03182,0.01744,0.00259
"Jun 2005",0.022,0.0166,0.0095,0.0768,9e-04,0.0193,0.0195,0.00142,0.00819,0.0023
"Jul 2005",0.0153,0.0241,0.027,0.0564,0.0357,0.0408,0.0265,0.0372,-0.02332,0.00235
"Aug 2005",0.0146,0.0081,-0.0026,-0.0252,0.0263,0.0098,0.0097,-0.0091,0.02267,0.0029
"Sep 2005",0.0241,0.0174,0.0187,-0.0259,0.0141,0.0355,0.0222,0.0081,-0.02124,0.00299
"Oct 2005",-0.0216,-0.026,-0.0065,-0.0278,-0.0097,-0.0402,-0.0174,-0.0167,-0.0144,0.00264
"Nov 2005",0.0329,0.0167,0.0219,0.0537,0.0298,0.0409,0.0211,0.0378,0.00518,0.00329
"Dec 2005",0.0253,0.0114,0.0148,0.0282,-0.0095,0.034,0.0249,3e-04,0.01188,0.00324
"Jan 2006",0.0671,0.0763,0.037,0.0571,0.0481,0.0544,0.0381,0.0265,-0.00657,0.00309
"Feb 2006",0.0185,-0.0315,0.0182,-0.0561,-0.0119,-0.0034,0.0016,0.0027,-0.00139,0.00325
"Mar 2006",0.0445,0.0112,0.0104,0.0158,0.0354,0.0254,0.0238,0.0125,-0.01987,0.00385
"Apr 2006",0.0054,0.0226,0.0073,0.0239,0.0318,0.0425,0.0172,0.0134,-0.01272,0.00366
"May 2006",-0.0217,-0.0144,-0.0242,-0.0235,-0.0197,0.0032,-0.0248,-0.0288,-0.00082,0.00404
"Jun 2006",0.0157,-0.01,-0.0211,0.0073,-0.0061,2e-04,-0.0062,0.0014,0.00221,0.00384
"Jul 2006",-0.005,-0.0057,0.0064,-0.0176,-0.0184,-0.0147,-0.0031,0.0062,0.0158,0.00423
"Aug 2006",0.0233,-0.015,0.0313,-0.0129,0.0112,0.0178,0.0114,0.0238,0.0219,0.00441
"Sep 2006",4e-04,-0.0197,0.0057,0.0167,0.0169,-0.0091,1e-04,0.0258,0.0114,0.00456
"Oct 2006",0.0419,0.0143,0.0164,0.0526,0.0182,0.0246,0.0194,0.0326,0.00584,0.00381
"Nov 2006",0.0209,0.0236,0.0194,0.0324,-0.0024,0.0286,0.0205,0.019,0.01419,0.0043
"Dec 2006",0.0038,-0.015,0.011,0.0136,0.0262,0.0177,0,0.01403,-0.0155,0.00441
